timestamp,face_count,smiles,eyes
2025-07-25 18:03:43.839085,1,0,1
2025-07-25 18:03:45.549360,1,0,1
2025-07-25 18:03:46.999010,1,0,0
2025-07-25 18:03:48.376839,1,0,0
2025-07-25 18:03:48.488967,0,0,0
2025-07-25 18:03:48.601139,0,0,0
2025-07-25 18:03:48.689219,0,0,0
2025-07-25 18:03:48.781229,0,0,0
2025-07-25 18:03:48.885037,0,0,0
2025-07-25 18:03:48.979839,0,0,0
2025-07-25 18:03:49.082760,0,0,0
2025-07-25 18:03:49.173749,0,0,0
2025-07-25 18:03:49.265595,0,0,0
2025-07-25 18:03:49.358915,0,0,0
2025-07-25 18:03:49.447762,0,0,0
2025-07-25 18:03:49.542216,0,0,0
2025-07-25 18:03:49.628167,0,0,0
2025-07-25 18:03:49.719211,0,0,0
2025-07-25 18:03:49.812225,0,0,0
2025-07-25 18:03:49.904592,0,0,0
2025-07-25 18:03:49.995949,0,0,0
2025-07-25 18:03:50.088744,0,0,0
2025-07-25 18:03:50.181483,0,0,0
2025-07-25 18:03:50.275149,0,0,0
2025-07-25 18:03:50.368753,0,0,0
2025-07-25 18:03:51.785173,1,0,0
2025-07-25 18:03:53.254261,1,0,1
2025-07-25 18:03:53.315170,0,0,0
2025-07-25 18:03:53.378599,0,0,0
2025-07-25 18:03:53.432239,0,0,0
2025-07-25 18:03:53.496158,0,0,0
2025-07-25 18:03:53.560768,0,0,0
2025-07-25 18:03:53.631714,0,0,0
2025-07-25 18:03:55.066243,1,0,1
2025-07-25 18:03:57.955562,2,0,1
2025-07-25 18:03:59.416396,1,0,1
2025-07-25 18:04:00.834016,1,0,1
2025-07-25 18:04:03.524509,2,0,1
2025-07-25 18:04:04.953279,1,0,1
2025-07-25 18:04:06.365737,1,0,1
2025-07-25 18:04:07.937202,1,0,1
2025-07-25 18:04:09.376153,1,0,1
2025-07-25 18:04:10.800310,1,0,1
2025-07-25 18:04:12.231762,1,0,1
2025-07-25 18:04:13.730314,1,0,1
2025-07-25 18:04:15.159204,1,0,1
2025-07-25 18:04:16.571088,1,0,1
2025-07-25 18:04:18.004405,1,0,1
2025-07-25 18:04:19.462185,1,0,1
2025-07-25 18:04:20.907197,1,0,1
2025-07-25 18:04:22.323346,1,0,1
2025-07-25 18:04:23.752599,1,0,1
2025-07-25 18:04:26.501418,2,0,1
2025-07-25 18:04:27.902979,1,0,1
2025-07-25 18:04:29.357274,1,0,1
2025-07-25 18:04:30.774708,1,0,1
2025-07-25 18:04:32.177956,1,0,0
2025-07-25 18:04:32.270299,0,0,0
2025-07-25 18:04:32.340915,0,0,0
2025-07-25 18:04:32.405614,0,0,0
2025-07-25 18:04:32.471516,0,0,0
2025-07-25 18:04:32.532651,0,0,0
2025-07-25 18:04:32.594713,0,0,0
2025-07-25 18:04:32.661807,0,0,0
2025-07-25 18:04:32.726640,0,0,0
2025-07-25 18:04:32.794882,0,0,0
2025-07-25 18:04:32.872868,0,0,0
2025-07-25 18:04:32.945643,0,0,0
2025-07-25 18:04:33.003733,0,0,0
2025-07-25 18:04:33.067123,0,0,0
2025-07-25 18:04:33.136920,0,0,0
2025-07-25 18:04:33.197595,0,0,0
2025-07-25 18:04:33.260081,0,0,0
2025-07-25 18:04:33.323126,0,0,0
2025-07-25 18:04:34.700331,1,0,1
2025-07-25 18:04:36.109409,1,0,0
